,MP ID,Breed,Gender,Age (years),KIT Pattern,Status,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF
0,MP-21-0009973,Mixed ,Fs,12,2,KIT-11,31.4,2.7,84.78,4,High,2,,x,94
1,MP-21-0009594,Mixed ,Mc,11,2,KIT-11,18.4,1.43,26.37,4,High,2,,x,90
2,MP-21-0009589,Boxer,Mc,6,2,KIT-11,13.4,2.57,34.39,4,High,3,,x,96
3,MP-21-0009587,?,?,?,2,KIT-11,17.8,3.2,56.96,4,High,2,,x,96
4,MP-21-0009586,Vizsla,Mc,11,2,KIT-11,36,3.7,133.2,4,Low,2,,x,98
5,MP-21-0009548,Rat Terrier,Fs,?,2,KIT-11,39.8,3.1,123.38,4,High,3,,x,97
6,MP-21-0009514,Mixed ,Mc,11,2,KIT-11,14,1.8,25.2,4,High,3,,x,98
7,MP-21-0009475,American Pit Bull,Mc,7,2,KIT-11,40.4,3.47,140.18,4,High,3,,x,24
8,MP-21-0009290,?,Fs,11,2,KIT-11,50,2.8,140.5,4,High,3,,x,98
9,MP-21-0009274,?,Mc,9,1,KIT-11,5,1.6,7.8,4,Low,2,,x,98
10,MP-21-0009235,Lhasa Apso,Mc,11,2,KIT-11,60,2.6,156.3,4,High,3,,x,96
11,MP-21-0009212,French Bulldog,Fs,8,2,KIT-11,28,2.6,73.9,4,High,2,,x,97
12,MP-21-0009179,?,?,?,2,KIT-11,36,3.2,116,4,High,3,sc,x,91
13,MP-21-0009134,Bulldog,Fs,11,2,KIT-11,70,2.7,189.8,4,High,3,,x,97
14,MP-21-0009115,?,Fs,5,2,KIT-11,50,2.8,141.3,4,High,2,,x,96
15,MP-21-0009113,Labrador,Fs,12,2,KIT-11,30,2.8,84.5,4,High,2,,x,97
16,MP-21-0009050,?,M,9,2,KIT-11,4,2.07,8.28,4,Low,2,sc,x,93
17,MP-21-0008988,French Bulldog,M,8,2,KIT-11,9.2,1.8,16.56,4,High,3,,x,98
18,MP-21-0008894,Tibetan Terrier,Mc,10,2,KIT-11,22.6,2.57,58.01,4,High,3,,x,94
19,MP-21-0007896,?,Fs,4,2,KIT-11,45,2.8,124.7,4,Low,2,,x ,97
20,MP-21-0006811,Mixed,Mc,6,3,KIT-11,?,?,?,2,High,3,,x,28
21,MP-21-0006757,Golden Retriever,Fs,5,2,KIT-11,27.6,4.47,123.33,4,High,3,,x,96
22,MP-21-0006365,?,Fs,7,2,KIT-11,75,2,153.5,4,High,3,,x,92
23,MP-21-0006280,Boxer,Fs,7,2,KIT-11,32,3,94.6,4,High,2,,x,97
24,MP-21-0005744,?,Fs,5,1,KIT-11,11,1.6,17.6,4,Low,2,,x,92
25,MP-21-0005500,Poodle,Mc,13,2,KIT-11,5,1.73,8.67,4,Low,2,,x,97
