slide_id,label
CP_MP-18-0015783,POSITIVE
CP_MP-19-0013630,POSITIVE
CP_MP-21-0009819_H2,NEGATIVE
CP_MP-20-0002232,POSITIVE
CP_MP-21-0009128_L2,NEGATIVE
CP_MP-21-0011052,POSITIVE
CP_MP-17-0003345_H3,NEGATIVE
CP_MP-21-0005067,POSITIVE
CP_MP-19-0004525,POSITIVE
CP_MP-19-0004621,POSITIVE
CP_MP-21-0004823,POSITIVE
CP_MP-21-0000969,POSITIVE
CP_MP-21-0011955_H2,NEGATIVE
CP_MP-21-0009224_H2,NEGATIVE
CP_MP-21-0001084,POSITIVE
CP_MP-21-0000828_H2,NEGATIVE
CP_MP-19-0002954_H2,NEGATIVE
CP_MP-19-0004177_H2,NEGATIVE
CP_MP-21-0002348,POSITIVE
CP_MP-17-0003345_H3,NEGATIVE
CP_MP-19-0004782,POSITIVE
CP_MP-21-0000522_L2,NEGATIVE
CP_MP-20-0008560,POSITIVE
CP_MP-21-0000146,POSITIVE
CP_MP-21-0006327_H2,NEGATIVE
CP_MP-21-0002336_L2,NEGATIVE
CP_MP-19-0002956_H2,NEGATIVE
CP_MP-18-0000802,POSITIVE
CP_MP-19-0004982,POSITIVE
CP_MP-20-0015012,POSITIVE
CP_MP-21-0011216,POSITIVE
CP_MP-21-0000305,POSITIVE
CP_MP-19-0008391_L2,NEGATIVE
CP_MP-17-0013531_L2,NEGATIVE
CP_MP-19-0006379_H3,NEGATIVE
CP_MP-21-0005446,POSITIVE
CP_MP-20-0015231,POSITIVE
CP_MP-18-0012961,POSITIVE
CP_IH-20-0008800_Hsc,NEGATIVE
