,MP ID,Breed,Gender,Age (years),KIT Pattern,KIT 11,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF,Age (y),Validated,HE- Scanned ,Annotated,Für Kit 11-Gruppe,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,MP-21-0009973,Mixed ,Fs,12,2.0,pos,31.4,2.7,84.78,4,High,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MP-21-0009594,Mixed ,Mc,11,2.0,pos,18.4,1.43,26.37,4,High,2.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MP-21-0009589,Boxer,Mc,6,2.0,pos,13.4,2.57,34.39,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MP-21-0009587,?,?,?,2.0,pos,17.8,3.2,56.96,4,High,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MP-21-0009586,Vizsla,Mc,11,2.0,pos,36,3.7,133.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MP-21-0009548,Rat Terrier,Fs,?,2.0,pos,39.8,3.1,123.38,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MP-21-0009514,Mixed ,Mc,11,2.0,pos,14,1.8,25.2,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MP-21-0009475,American Pit Bull,Mc,7,2.0,pos,40.4,3.47,140.18,4,High,3.0,,x,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP-21-0009290,?,Fs,11,2.0,pos,50,2.8,140.5,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MP-21-0009274,?,Mc,9,1.0,pos,5,1.6,7.8,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MP-21-0009235,Lhasa Apso,Mc,11,2.0,pos,60,2.6,156.3,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MP-21-0009212,French Bulldog,Fs,8,2.0,pos,28,2.6,73.9,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MP-21-0009179,?,?,?,2.0,pos,36,3.2,116,4,High,3.0,sc,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MP-21-0009134,Bulldog,Fs,11,2.0,pos,70,2.7,189.8,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MP-21-0009115,?,Fs,5,2.0,pos,50,2.8,141.3,4,High,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MP-21-0009113,Labrador,Fs,12,2.0,pos,30,2.8,84.5,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MP-21-0009050,?,M,9,2.0,pos,4,2.07,8.28,4,Low,2.0,sc,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MP-21-0008988,French Bulldog,M,8,2.0,pos,9.2,1.8,16.56,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MP-21-0008894,Tibetan Terrier,Mc,10,2.0,pos,22.6,2.57,58.01,4,High,3.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MP-21-0007896,?,Fs,4,2.0,pos,45,2.8,124.7,4,Low,2.0,,x ,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MP-21-0006811,Mixed,Mc,6,3.0,pos,?,?,?,2,High,3.0,,x,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MP-21-0006757,Golden Retriever,Fs,5,2.0,pos,27.6,4.47,123.33,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MP-21-0006365,?,Fs,7,2.0,pos,75,2,153.5,4,High,3.0,,x,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MP-21-0006280,Boxer,Fs,7,2.0,pos,32,3,94.6,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MP-21-0005744,?,Fs,5,1.0,pos,11,1.6,17.6,4,Low,2.0,,x,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MP-21-0005500,Poodle,Mc,13,2.0,pos,5,1.73,8.67,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MP-21-0005475,Mixed ,Fs,9,2.0,pos,14.4,1.33,19.15,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MP-21-0005446,Great Dane,Fs,7,2.0,pos,18,2.36,42.6,4,High,3.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MP-21-0005077,?,?,?,1.0,pos,18,2,35.8,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
