,train,val,test
0,CP_MP-19-0008528,CP_MP-18-0000802,CP_MP-20-0002232
1,CP_MP-21-0005077,CP_MP-19-0006053,CP_MP-18-0007528
2,CP_MP-18-0006977,CP_MP-18-0001140,CP_MP-21-0002713
3,CP_MP-17-0014039,CP_MP-20-0015275,CP_MP-21-0009115
4,CP_MP-19-0004383,CP_MP-21-0009290,CP_MP-21-0004444
5,CP_MP-21-0005067,CP_MP-21-0005027,CP_MP-20-0015012
6,CP_MP-20-0015231,CP_MP-21-0004311,CP_MP-19-0004680
7,CP_MP-21-0001718,CP_MP-21-0000648,CP_MP-20-0014084
8,CP_MP-21-0003988,CP_MP-19-0004525,CP_MP-21-0013078-2
9,CP_MP-21-0009050,CP_MP-21-0009594,CP_MP-21-0000969
10,CP_MP-20-0013067,CP_MP-17-0013882,CP_MP-19-0004473
11,CP_MP-18-0002484,CP_MP-17-0014076,CP_MP-21-0004140
12,CP_MP-19-0006084,CP_MP-20-0008986,CP_MP-19-0005121
13,CP_MP-20-0014732,CP_MP-21-0000659,CP_MP-19-0003064
14,CP_MP-19-0006142,CP_MP-18-0007443,CP_MP-20-0002148
15,CP_MP-17-0013344,CP_MP-21-0013300,CP_MP-19-0004912
16,CP_MP-21-0001023,CP_MP-19-0008554,CP_MP-21-0002433
17,CP_MP-21-0004288,CP_MP-21-0009475,CP_MP-21-0000379
18,CP_MP-21-0010878,CP_MP-21-0000852,CP_MP-21-0000604
19,CP_MP-21-0009134,CP_MP-21-0000585,CP_MP-20-0015808
20,CP_MP-20-0012825,CP_MP-21-0009909_L2,CP_MP-20-0015656_H3
21,CP_MP-21-0004299,CP_MP-21-0006159_L2,CP_MP-20-0003529_L2
22,CP_MP-21-0006811,CP_MP-18-0006838_H2,CP_MP-18-0012852_H2
23,CP_MP-19-0004225,CP_MP-21-0011223_H2,CP_MP-21-0006282_H2
24,CP_MP-18-0002437,CP_MP-21-0009128_L2,CP_MP-18-0001134_L2
25,CP_MP-21-0008894,CP_MP-21-0010227_L2,CP_MP-21-0000331_H3
26,CP_MP-21-0009548,CP_MP-18-0005009_H2,CP_MP-17-0003290_H3
27,CP_MP-18-0005024,CP_MP-21-0004254_L2,CP_MP-21-0006746_L2
28,CP_MP-21-0000400,CP_MP-21-0006773_H3,CP_MP-19-0005093_H3
29,CP_MP-20-0003427,CP_MP-21-0008074_L2,CP_MP-20-0003419_L2
30,CP_MP-21-0013711,CP_IH-18-0004964_H2,CP_MP-21-0009826_L2
31,CP_MP-21-0009212,CP_MP-21-0002655_H2,CP_MP-21-0012057_L1
32,CP_MP-20-0014785,CP_MP-21-0004398_L2,CP_MP-21-0000828_H2
33,CP_MP-21-0002389,CP_MP-21-0005469_H2,CP_MP-20-0011453_H2
34,CP_MP-20-0002151,CP_MP-19-0006378_H2,CP_MP-21-0000705_L2
35,CP_MP-21-0001084,CP_MP-18-0012909,CP_MP-21-0013240_H3
36,CP_MP-21-0006757,CP_MP-21-0009827_L2,CP_MP-21-0009735_H2
37,CP_MP-19-0013558,CP_MP-21-0009825_L2,CP_MP-17-0013794_L1
38,CP_MP-20-0015628,CP_MP-21-0000225_L1,CP_MP-19-0013660_H2
39,CP_MP-21-0002781,,
40,CP_MP-20-0012053,,
41,CP_MP-19-0008089,,
42,CP_MP-19-0004535,,
43,CP_MP-19-0008491,,
44,CP_MP-19-0003037,,
45,CP_MP-19-0010011,,
46,CP_MP-21-0001757,,
47,CP_MP-21-0003900,,
48,CP_MP-17-0014072,,
49,CP_MP-21-0002779,,
50,CP_MP-20-0009016,,
51,CP_MP-20-0011820,,
52,CP_MP-21-0005475,,
53,CP_MP-21-0011186,,
54,CP_MP-21-0000375,,
55,CP_MP-21-0001019,,
56,CP_MP-20-0008560,,
57,CP_MP-20-0008713,,
58,CP_MP-20-0008886,,
59,CP_MP-21-0001784,,
60,CP_MP-21-0002609,,
61,CP_MP-19-0004795,,
62,CP_MP-21-0013151,,
63,CP_MP-21-0009973,,
64,CP_MP-21-0002300,,
65,CP_MP-21-0013187,,
66,CP_MP-21-0000305,,
67,CP_MP-21-0013078-1,,
68,CP_MP-19-0003057,,
69,CP_MP-20-0014002,,
70,CP_MP-21-0006365,,
71,CP_MP-21-0004320,,
72,CP_MP-21-0002488,,
73,CP_MP-21-0005039,,
74,CP_MP-20-0008897,,
75,CP_MP-18-0012961,,
76,CP_MP-18-0012930,,
77,CP_MP-21-0000146,,
78,CP_MP-20-0015272-2,,
79,CP_MP-18-0003823,,
80,CP_MP-20-0013951,,
81,CP_MP-21-0004163,,
82,CP_MP-19-0004982,,
83,CP_MP-19-0013692,,
84,CP_MP-21-0007582,,
85,CP_MP-19-0013630,,
86,CP_MP-21-0011216,,
87,CP_MP-21-0005500,,
88,CP_MP-21-0011163,,
89,CP_MP-19-0004249,,
90,CP_MP-20-0008774,,
91,CP_MP-20-0013991,,
92,CP_MP-21-0000518,,
93,CP_MP-21-0012910,,
94,CP_MP-17-0013378,,
95,CP_MP-21-0009586,,
96,CP_MP-21-0006280,,
97,CP_MP-18-0013101,,
98,CP_MP-18-0002364,,
99,CP_MP-21-0009179,,
100,CP_MP-18-0007672,,
101,CP_IH-20-0014949,,
102,CP_MP-20-0011816,,
103,CP_MP-20-0013853,,
104,CP_MP-19-0008555,,
105,CP_MP-21-0005744,,
106,CP_MP-21-0008988,,
107,CP_MP-21-0013235,,
108,CP_MP-20-0002008,,
109,CP_MP-21-0009514,,
110,CP_MP-21-0011052,,
111,CP_MP-18-0003955,,
112,CP_MP-21-0012871,,
113,CP_MP-19-0004782,,
114,CP_MP-19-0004621,,
115,CP_MP-19-0003150,,
116,CP_MP-18-0007606,,
117,CP_MP-21-0009116_L2,,
118,CP_MP-21-0007879_H2,,
119,CP_MP-21-0009356_L2,,
120,CP_MP-20-0014239_L2,,
121,CP_MP-21-0002254_H2,,
122,CP_MP-21-0012908,,
123,CP_MP-21-0009130_L2,,
124,CP_MP-20-0015825_H2,,
125,CP_MP-21-0001185_H3,,
126,CP_MP-18-0003683_L2,,
127,CP_MP-21-0009505_H3,,
128,CP_MP-19-0004340_H2,,
129,CP_MP-19-0004315_L2sc,,
130,CP_MP-18-0002372_L2,,
131,CP_MP-21-0009114_L2,,
132,CP_MP-17-0013488_H2,,
133,CP_IH-20-0008800_Hsc,,
134,CP_MP-21-0011123_L2,,
135,CP_MP-21-0008030_L2,,
136,CP_MP-19-0005081_H3,,
137,CP_MP-20-0003304_H2,,
138,CP_MP-21-0000751_H2,,
139,CP_MP-17-0013530_H2,,
140,CP_MP-21-0009231_H2,,
141,CP_MP-20-0002128_Hsc,,
142,CP_MP-20-0009005_H2,,
143,CP_MP-21-0007959_L2,,
144,CP_MP-21-0007880_H2,,
145,CP_MP-21-0004248_H3,,
146,CP_MP-18-0002328_L2,,
147,CP_IH-21-0013282_H2,,
148,CP_MP-18-0002401_H2,,
149,CP_MP-21-0009626_H3,,
150,CP_MP-17-0003201_H3,,
