,train,val,test
0,CP_MP-21-0009116_L2,CP_MP-21-0002336_L2,CP_MP-21-0000828_H2
1,CP_MP-21-0007879_H2,CP_MP-18-0002598_H3,CP_MP-19-0004177_H2
2,CP_MP-21-0009356_L2,CP_MP-18-0012909,CP_MP-21-0009130_L2
3,CP_MP-20-0014239_L2,CP_IH-21-0013282_H2,CP_MP-17-0014094_L2
4,CP_MP-21-0002254_H2,CP_MP-21-0001156_H2,CP_MP-21-0008074_L2
5,CP_MP-21-0012908,CP_MP-21-0009505_H3,CP_MP-19-0013660_H2
6,CP_MP-20-0015825_H2,CP_MP-21-0000829_L2,CP_MP-17-0013794_L1
7,CP_MP-21-0001185_H3,CP_MP-17-0003285_H3,CP_MP_21-0009863_H2
8,CP_MP-18-0003683_L2,CP_MP-21-0004398_L2,CP_MP-19-0003053_H2
9,CP_MP-19-0004340_H2,CP_MP-21-0009825_L2,CP_MP-20-0014231_H3
10,CP_MP-19-0004315_L2sc,CP_MP-21-0009735_H2,CP_MP-21-0000148_H3
11,CP_MP-18-0002372_L2,CP_MP-21-0009967_L2,CP_MP-21-0008131_L2
12,CP_MP-21-0009114_L2,CP_MP-20-0002128_Hsc,CP_MP-21-0004315_H2
13,CP_MP-17-0013488_H2,CP_MP-21-0006159_L2,CP_MP-21-0010935_H2
14,CP_IH-20-0008800_Hsc,CP_MP-19-0008391_L2,CP_MP-19-0008554-2_L2
15,CP_MP-20-0015656_H3,CP_IH-21-0013306_H2,CP_MP-21-0009127_L2
16,CP_MP-21-0011123_L2,CP_MP-21-0009231_H2,CP_MP-21-0011250_H2
17,CP_MP-21-0008030_L2,CP_MP-21-0011223_H2,CP_MP-19-0005093_H3
18,CP_MP-19-0005081_H3,CP_MP-21-0007959_L2,CP_MP-21-0009909_L2
19,CP_MP-20-0003304_H2,CP_MP-21-0001023,CP_MP-21-0013151
20,CP_MP-20-0003529_L2,CP_MP-19-0013558,CP_MP-20-0014002
21,CP_MP-18-0012852_H2,CP_MP-21-0009594,CP_MP-17-0014072
22,CP_MP-21-0000751_H2,CP_MP-21-0013158,CP_MP-21-0011186
23,CP_MP-17-0013530_H2,CP_MP-21-0013078-2,CP_MP-21-0003988
24,CP_MP-20-0009005_H2,CP_MP-20-0011816,CP_MP-20-0002151
25,CP_MP-21-0007880_H2,CP_MP-21-0002433,CP_MP-19-0010011
26,CP_MP-21-0004248_H3,CP_MP-21-0011216,CP_MP-21-0012910
27,CP_MP-18-0002328_L2,CP_MP-21-0013187,CP_MP-17-0013882
28,CP_MP-18-0006838_H2,CP_MP-21-0005077,CP_MP-20-0013991
29,CP_MP-18-0002401_H2,CP_MP-21-0000604,CP_MP-21-0009235
30,CP_MP-21-0009626_H3,CP_MP-21-0009973,CP_MP-21-0004476
31,CP_MP-17-0003201_H3,CP_IH-20-0014949,CP_MP-21-0002781
32,CP_MP-21-0006162_L2,CP_MP-21-0007582,CP_MP-21-0005039
33,CP_MP-18-0003889_L2,CP_MP-21-0009475,CP_MP-20-0002081
34,CP_MP-18-0006806_H3,CP_MP-21-0010878,CP_MP-19-0006084
35,CP_MP-20-0011679_H2,CP_MP-18-0002484,CP_MP-21-0005024
36,CP_MP-17-0013531_L2,CP_MP-18-0001140,CP_MP-21-0001019
37,CP_MP-21-0009131_L2,CP_MP-21-0000659,CP_MP-18-0012930
38,CP_MP-21-0009275_L2,CP_MP-21-0000375,CP_MP-21-0012901
39,CP_MP-20-0006950_H3,,
40,CP_MP-21-0012048_H2,,
41,CP_MP-18-0002447_L2,,
42,CP_MP-18-0006963_L2,,
43,CP_MP-21-0009128_L2,,
44,CP_MP-21-0010227_L2,,
45,CP_MP-18-0003707_H2,,
46,CP_MP-18-0005009_H2,,
47,CP_MP-20-0009515_H2,,
48,CP_MP-21-0004254_L2,,
49,CP_MP-21-0006773_H3,,
50,CP_MP-21-0002310_L2,,
51,CP_MP-20-0003303_H2,,
52,CP_MP-21-0007965_H2,,
53,CP_MP-21-0000007_H3,,
54,CP_MP-19-0008615,,
55,CP_MP-17-0003345_H3,,
56,CP_MP-21-0005617_L1,,
57,CP_MP-18-0015782_H3,,
58,CP_MP-21-0000027_H3,,
59,CP_MP-19-0008490_H2,,
60,CP_MP-21-0009273_L2,,
61,CP_MP-21-0004091_H2,,
62,CP_MP-21-0006327_H2,,
63,CP_MP-21-0006282_H2,,
64,CP_MP-20-0007011_H3,,
65,CP_IH-19-0008477,,
66,CP_MP-21-0000821_L2,,
67,CP_MP-21-0009585_L2,,
68,CP_MP-18-0015780_H2,,
69,CP_MP-20-0015824_H3,,
70,CP_MP-18-0002402_H2,,
71,CP_MP-21-0005647_H2,,
72,CP_MP-21-0005848_H3,,
73,CP_MP-21-0000588_L2,,
74,CP_IH-18-0004964_H2,,
75,CP_MP-18-0000957_H2,,
76,CP_MP-21-0004312_Hsc,,
77,CP_MP-20-0014232_L2,,
78,CP_MP-21-0006817_L2,,
79,CP_MP-21-0000544_L2,,
80,CP_MP-19-0002956_H2,,
81,CP_MP-18-0001134_L2,,
82,CP_MP-20-0008547_H3,,
83,CP_MP-21-0000331_H3,,
84,CP_MP-20-0014623_H3,,
85,CP_MP-20-0011987_L2,,
86,CP_MP-19-0008069_H2,,
87,CP_MP-21-0010170_H3,,
88,CP_MP-21-0002655_H2,,
89,CP_MP-19-0002954_H2,,
90,CP_MP-17-0003290_H3,,
91,CP_MP-21-0009819_H2,,
92,CP_MP-21-0006746_L2,,
93,CP_MP-18-0002344_L2,,
94,CP_MP-19-0008539_L2,,
95,CP_MP-21-0011028_H2,,
96,CP_MP-21-0009067_L2,,
97,CP_MP-21-0011050_H2,,
98,CP_MP-21-0009981_L2,,
99,CP_MP-19-0006379_H3,,
100,CP_MP-19-0004313_H2,,
101,CP_MP-21-0006156_L2,,
102,CP_MP-17-0014077_H2,,
103,CP_MP-21-0009126_L2,,
104,CP_MP-18-0005003_L2,,
105,CP_MP-21-0007976_H3,,
106,CP_MP-21-0008119_L2,,
107,CP_MP-20-0003419_L2,,
108,CP_MP-21-0006784_H2,,
109,CP_MP-21-0009826_L2,,
110,CP_MP-21-0012057_L1,,
111,CP_MP-19-0006552_H3,,
112,CP_MP-21-0009359_L2,,
113,CP_MP-20-0008559_H2,,
114,CP_MP-20-0007025_H2,,
115,CP_MP-20-0015095_H3,,
116,CP_MP-19-0008528,,
117,CP_MP-18-0006977,,
118,CP_MP-17-0014039,,
119,CP_MP-20-0002232,,
120,CP_MP-19-0004383,,
121,CP_MP-21-0005067,,
122,CP_MP-20-0015231,,
123,CP_MP-21-0001718,,
124,CP_MP-18-0007528,,
125,CP_MP-21-0009050,,
126,CP_MP-20-0013067,,
127,CP_MP-18-0000802,,
128,CP_MP-20-0014732,,
129,CP_MP-19-0006053,,
130,CP_MP-19-0006142,,
131,CP_MP-17-0013344,,
132,CP_MP-21-0004288,,
133,CP_MP-21-0009134,,
134,CP_MP-20-0012825,,
135,CP_MP-21-0004299,,
136,CP_MP-20-0015275,,
137,CP_MP-21-0006811,,
138,CP_MP-19-0004225,,
139,CP_MP-18-0002437,,
140,CP_MP-21-0008894,,
