,train,val,test
CP_MP-21-0009116_L2,True,False,False
CP_MP-21-0009356_L2,True,False,False
CP_MP-20-0014239_L2,True,False,False
CP_MP-21-0009909_L2,True,False,False
CP_MP-20-0015825_H2,True,False,False
CP_MP-21-0001185_H3,True,False,False
CP_MP-18-0003683_L2,True,False,False
CP_MP-21-0009505_H3,True,False,False
CP_MP-18-0002372_L2,True,False,False
CP_MP-21-0009114_L2,True,False,False
CP_MP-21-0006159_L2,True,False,False
CP_MP-17-0013488_H2,True,False,False
CP_IH-20-0008800_Hsc,True,False,False
CP_MP-20-0015656_H3,True,False,False
CP_MP-19-0005081_H3,True,False,False
CP_MP-20-0003304_H2,True,False,False
CP_MP-18-0012852_H2,True,False,False
CP_MP-21-0000751_H2,True,False,False
CP_MP-21-0009231_H2,True,False,False
CP_MP-20-0002128_Hsc,True,False,False
CP_MP-20-0009005_H2,True,False,False
CP_MP-21-0007959_L2,True,False,False
CP_MP-21-0004248_H3,True,False,False
CP_MP-18-0002328_L2,True,False,False
CP_IH-21-0013282_H2,True,False,False
CP_MP-18-0006838_H2,True,False,False
CP_MP-18-0002401_H2,True,False,False
CP_MP-17-0003201_H3,True,False,False
CP_MP-21-0006162_L2,True,False,False
CP_MP-18-0003889_L2,True,False,False
CP_MP-18-0006806_H3,True,False,False
CP_MP-21-0002336_L2,True,False,False
CP_MP-21-0009131_L2,True,False,False
CP_MP-21-0008131_L2,True,False,False
CP_MP-21-0009275_L2,True,False,False
CP_MP-21-0012048_H2,True,False,False
CP_MP-21-0011223_H2,True,False,False
CP_MP-18-0002447_L2,True,False,False
CP_MP-19-0008554-2_L2,True,False,False
CP_MP-18-0006963_L2,True,False,False
CP_MP-21-0010227_L2,True,False,False
CP_MP-18-0003707_H2,True,False,False
CP_MP-20-0009515_H2,True,False,False
CP_MP-21-0004254_L2,True,False,False
CP_MP-20-0003303_H2,True,False,False
CP_MP-21-0000007_H3,True,False,False
CP_MP-19-0008615,True,False,False
CP_MP-18-0002598_H3,True,False,False
CP_MP-21-0005617_L1,True,False,False
CP_MP-21-0000027_H3,True,False,False
CP_MP-21-0009273_L2,True,False,False
CP_MP-21-0004091_H2,True,False,False
CP_MP-21-0004315_H2,True,False,False
CP_MP-20-0007011_H3,True,False,False
CP_IH-19-0008477,True,False,False
CP_MP-21-0000821_L2,True,False,False
CP_MP-18-0015780_H2,True,False,False
CP_MP-20-0015824_H3,True,False,False
CP_MP-21-0008074_L2,True,False,False
CP_MP-18-0002402_H2,True,False,False
CP_MP-21-0005647_H2,True,False,False
CP_MP-21-0005848_H3,True,False,False
CP_MP-21-0000588_L2,True,False,False
CP_IH-18-0004964_H2,True,False,False
CP_MP-18-0000957_H2,True,False,False
CP_MP-21-0004312_Hsc,True,False,False
CP_MP-20-0014232_L2,True,False,False
CP_MP-21-0006817_L2,True,False,False
CP_MP-21-0010935_H2,True,False,False
CP_MP-19-0002956_H2,True,False,False
CP_MP-18-0001134_L2,True,False,False
CP_MP-20-0008547_H3,True,False,False
CP_MP-21-0000331_H3,True,False,False
CP_MP-20-0014623_H3,True,False,False
CP_MP-20-0011987_L2,True,False,False
CP_MP-19-0008069_H2,True,False,False
CP_MP-21-0010170_H3,True,False,False
CP_MP-21-0002655_H2,True,False,False
CP_MP-19-0002954_H2,True,False,False
CP_MP-19-0008391_L2,True,False,False
CP_MP-21-0004398_L2,True,False,False
CP_MP-21-0009819_H2,True,False,False
CP_MP-21-0006746_L2,True,False,False
CP_MP-18-0002344_L2,True,False,False
CP_MP-21-0011028_H2,True,False,False
CP_MP-19-0005093_H3,True,False,False
CP_MP-21-0009067_L2,True,False,False
CP_MP-21-0011050_H2,True,False,False
CP_MP-21-0009981_L2,True,False,False
CP_MP-19-0006379_H3,True,False,False
CP_MP-19-0004313_H2,True,False,False
CP_MP-21-0000829_L2,True,False,False
CP_MP-21-0006156_L2,True,False,False
CP_MP-17-0014077_H2,True,False,False
CP_MP-19-0004177_H2,True,False,False
CP_MP-21-0009967_L2,True,False,False
CP_MP-18-0005003_L2,True,False,False
CP_MP-21-0007976_H3,True,False,False
CP_MP-21-0008119_L2,True,False,False
CP_MP-20-0003419_L2,True,False,False
CP_MP-21-0006784_H2,True,False,False
CP_MP-21-0009826_L2,True,False,False
CP_MP-21-0012057_L1,True,False,False
CP_MP-19-0006552_H3,True,False,False
CP_MP-21-0009359_L2,True,False,False
CP_MP-20-0008559_H2,True,False,False
CP_MP-21-0011250_H2,True,False,False
CP_MP-20-0014231_H3,True,False,False
CP_MP-20-0007025_H2,True,False,False
CP_MP-21-0000828_H2,True,False,False
CP_MP-20-0015095_H3,True,False,False
CP_MP-21-0008075_L1,True,False,False
CP_MP-21-0005469_H2,True,False,False
CP_MP_21-0009863_H2,True,False,False
CP_MP-20-0011453_H2,True,False,False
CP_MP-21-0007891_L2,True,False,False
CP_MP-21-0005077,True,False,False
CP_MP-18-0006977,True,False,False
CP_MP-17-0014039,True,False,False
CP_MP-20-0002232,True,False,False
CP_MP-19-0004383,True,False,False
CP_MP-21-0005067,True,False,False
CP_MP-20-0015231,True,False,False
CP_MP-21-0003988,True,False,False
CP_MP-18-0007528,True,False,False
CP_MP-21-0009050,True,False,False
CP_MP-20-0013067,True,False,False
CP_MP-18-0002484,True,False,False
CP_MP-19-0006084,True,False,False
CP_MP-18-0000802,True,False,False
CP_MP-19-0006053,True,False,False
CP_MP-19-0006142,True,False,False
